"","guid","data_level","data_industry","data_function"
"23506","3gUoCz2Nvj","Individual Contributor","Healthcare","General Management"
"23507","CQl8jsGo2t","Individual Contributor","Advanced Technology","Sales"
"23508","n8GMNhqzxu","Supervisor","Financial Services","Legal"
"23509","kTe4fcXlax","Supervisor","Retail","Marketing"
"23510","tPyadjzwlC","Individual Contributor","Healthcare","Human Resources"
"23511","45S6afH3Rw","Individual Contributor","Government","Operations"
"23512","68V9zgMFTj","Individual Contributor","Government","Marketing"
"23513","iuyDEUZrR6","Individual Contributor","Communications","Marketing"
"23514","niwqYDsctK","Individual Contributor","Financial Services","Sales"
"23515","xWXYt8Tslc","Individual Contributor","Consumer Goods","Human Resources"
"23516","ctaW1FbZQk","Functional Leader","Healthcare","Operations"
"23517","7RmIMwOaDd","Individual Contributor","Financial Services","General Management"
"23518","FvXLCaAhdr","Individual Contributor","Advanced Technology","Operations"
"23519","DVulbjCkyO","Mid-level Manager","Advanced Technology","Human Resources"
"23520","nHea8r6oip","Individual Contributor","Advanced Technology","Human Resources"
"23521","YrHjcKB2z6","Supervisor","Advanced Technology","Sales"
"23522","gJERZDQ9Nm","Mid-level Manager","Consumer Goods","Operations"
"23523","HINufr3GtZ","Individual Contributor","Healthcare","Sales"
"23524","XcHby7jvQG","Mid-level Manager","Financial Services","General Management"
"23525","BzPfJlLuR9","Individual Contributor","Consumer Goods","Human Resources"
"23526","NtAG8dJSpg","Individual Contributor","Government","Marketing"
"23527","I8Y3h2Oaov","Individual Contributor","Financial Services","Legal"
"23528","plIR9xgoSs","Individual Contributor","Healthcare","Human Resources"
"23529","3zPDGnJLFg","Individual Contributor","Financial Services","Administrative Services"
"23530","BGKUmSWzlJ","Individual Contributor","Consumer Goods","Legal"
"23531","DgpoaUTnZJ","Individual Contributor","Retail","Administrative Services"
"23532","M3PThq48lD","Individual Contributor","Advanced Technology","Legal"
"23533","2oqbtCip9z","Individual Contributor","Government","Administrative Services"
"23534","I1Wm9yMCLl","Supervisor","Consumer Goods","General Management"
"23535","d6hcJK5mit","Mid-level Manager","Healthcare","Human Resources"
"23536","UnH76cxOdu","Individual Contributor","Communications","Sales"
"23537","3FYQVkJLmf","Individual Contributor","Retail","Administrative Services"
"23538","hjeMnO5gia","Individual Contributor","Advanced Technology","General Management"
"23539","vPVkBCHGEZ","Individual Contributor","Financial Services","Operations"
"23540","xNZbGkBwdS","Mid-level Manager","Communications","Sales"
"23541","hC2JmI3R9M","Supervisor","Communications","Administrative Services"
"23542","pDiTCgzGRu","Individual Contributor","Advanced Technology","Sales"
"23543","LGm2HuC1i8","Individual Contributor","Communications","Operations"
"23544","OjMlaqGftz","Individual Contributor","Consumer Goods","Marketing"
"23545","uHERe6Ofqm","Mid-level Manager","Retail","Legal"
"23546","6IHLa4b85X","Individual Contributor","Healthcare","Administrative Services"
"23547","wpEZYTgID8","Individual Contributor","Financial Services","Sales"
"23548","qDc4maOsgG","Individual Contributor","Advanced Technology","Legal"
"23549","zawW9hXxBH","Individual Contributor","Government","Sales"
"23550","CHJyc6NVdZ","Individual Contributor","Consumer Goods","Sales"
"23551","AgkRJYXHpe","Individual Contributor","Healthcare","Marketing"
"23552","HRAq8EynM9","Functional Leader","Government","Marketing"
"23553","zIb7FlSYHt","Individual Contributor","Financial Services","Human Resources"
"23554","x2okg3rmuP","Individual Contributor","Communications","Marketing"
"23555","MmYahndfD6","Individual Contributor","Financial Services","Operations"
"23556","TzEp98N1PX","Individual Contributor","Government","Marketing"
"23557","3XeR6ABTWH","Functional Leader","Retail","Human Resources"
"23558","FdP3LHaRmz","Supervisor","Healthcare","Administrative Services"
"23559","qPuAWkf1Nr","Mid-level Manager","Financial Services","Sales"
"23560","XsDkvG834z","Mid-level Manager","Communications","General Management"
"23561","5WOHviKR9Q","Individual Contributor","Healthcare","Sales"
"23562","Ux3qiVFvPW","Individual Contributor","Government","Operations"
"23563","PyzWINLRMV","Individual Contributor","Consumer Goods","Human Resources"
"23564","MxrVZsuRpq","Supervisor","Healthcare","Marketing"
"23565","X1nZrLdN5t","Individual Contributor","Communications","Human Resources"
"23566","DJstGx471k","Individual Contributor","Consumer Goods","Legal"
"23567","CgY2HfiSmd","Individual Contributor","Communications","Legal"
"23568","uvVIxqC2yG","Individual Contributor","Advanced Technology","Marketing"
"23569","PJRvhD6GAg","Supervisor","Consumer Goods","Marketing"
"23570","VFEX8DsiAf","Individual Contributor","Advanced Technology","Human Resources"
"23571","3gDoBFSwpe","Individual Contributor","Retail","General Management"
"23572","3MA5nokFZa","Individual Contributor","Financial Services","Legal"
"23573","RNuH1KrApc","Mid-level Manager","Advanced Technology","General Management"
"23574","SI5rjKNwhB","Supervisor","Communications","Administrative Services"
"23575","crb8sJLZXW","Individual Contributor","Advanced Technology","Sales"
"23576","ympfer4ij7","Mid-level Manager","Healthcare","General Management"
"23577","aDWj9fmJwC","Supervisor","Retail","General Management"
"23578","Lx5PH1mQfo","Individual Contributor","Consumer Goods","Human Resources"
"23579","PJyI5oR6zU","Individual Contributor","Advanced Technology","Marketing"
"23580","Qm9Dy7B84c","Individual Contributor","Advanced Technology","Sales"
"23581","txuMJrbciI","Individual Contributor","Retail","Administrative Services"
"23582","NVzLE9ptoS","Individual Contributor","Consumer Goods","Administrative Services"
"23583","mPYJhTlCba","Individual Contributor","Healthcare","Marketing"
"23584","MV3ufGUmd5","Individual Contributor","Communications","Human Resources"
"23585","ignxPS98yo","Individual Contributor","Government","Administrative Services"
"23586","1MgCq2UtoP","Individual Contributor","Financial Services","Sales"
"23587","TXVUsKOwjf","Individual Contributor","Communications","Operations"
"23588","85tprCDoPU","Individual Contributor","Consumer Goods","Legal"
"23589","2zN79Znqfx","Individual Contributor","Consumer Goods","Sales"
"23590","xsCmzVbTPB","Individual Contributor","Advanced Technology","Administrative Services"
"23591","IPE6dCT2HX","Individual Contributor","Financial Services","Administrative Services"
"23592","QlZvSXLMkN","Individual Contributor","Healthcare","General Management"
"23593","oxQfVXKRAp","Mid-level Manager","Communications","Human Resources"
"23594","UNMeoIwvA4","Functional Leader","Advanced Technology","General Management"
"23595","qS1NOH8pyG","Supervisor","Retail","General Management"
"23596","VugCSjMPa4","Individual Contributor","Communications","Administrative Services"
"23597","Qa4EBJ3RSG","Supervisor","Advanced Technology","Marketing"
"23598","t1e2zjkd5c","Supervisor","Communications","Administrative Services"
"23599","wMbOUL2haV","Individual Contributor","Healthcare","Sales"
"23600","Zpylt1MsJL","Individual Contributor","Government","Sales"
"23601","gOFar9tEUP","Individual Contributor","Communications","Legal"
"23602","koAxNM74TS","Individual Contributor","Healthcare","Marketing"
"23603","UF479DzTaQ","Individual Contributor","Communications","Sales"
"23604","4I8MmJhHz6","Individual Contributor","Financial Services","Marketing"
"23605","fm5uv8Y712","Supervisor","Communications","General Management"
"23606","ZReQ7gpmM6","Functional Leader","Healthcare","Administrative Services"
"23607","dCIsZDXMzB","Mid-level Manager","Consumer Goods","Sales"
"23608","S9OD26gVWM","Individual Contributor","Government","Human Resources"
"23609","f9LNMR7uae","Individual Contributor","Retail","Legal"
"23610","KVX98LYO6G","Individual Contributor","Communications","Sales"
"23611","3bAtWRDYGV","Individual Contributor","Government","Administrative Services"
"23612","1wXlzqpMkd","Individual Contributor","Consumer Goods","Operations"
"23613","Xp2uk8LoKI","Supervisor","Communications","Administrative Services"
"23614","4XlcmOSU1A","Individual Contributor","Government","Legal"
"23615","uFzgJT3cA8","Individual Contributor","Healthcare","Human Resources"
"23616","IxdAEBVGFN","Individual Contributor","Financial Services","Administrative Services"
"23617","Urin93q1DS","Functional Leader","Advanced Technology","Legal"
"23618","DauqVskJgR","Functional Leader","Financial Services","Sales"
"23619","PHWkFanz4u","Individual Contributor","Retail","Sales"
"23620","jYAf1B2P9W","Individual Contributor","Government","Sales"
"23621","2IU5oxc81L","Functional Leader","Communications","Marketing"
"23622","9g8DU4Zmbc","Individual Contributor","Advanced Technology","Sales"
"23623","8EHN5fCuzr","Mid-level Manager","Consumer Goods","Sales"
"23624","A4iPIbL2e8","Individual Contributor","Healthcare","Human Resources"
"23625","HnWmpfFXD1","Individual Contributor","Healthcare","Sales"
"23626","ygw51kfKsi","Individual Contributor","Financial Services","Marketing"
"23627","LkbgQhFME5","Individual Contributor","Financial Services","Legal"
"23628","jO4TAfEiP7","Individual Contributor","Consumer Goods","Marketing"
"23629","QxLfUARY1K","Individual Contributor","Communications","Marketing"
"23630","kVYrpfiwRm","Individual Contributor","Advanced Technology","Operations"
"23631","OFujBJXKms","Individual Contributor","Government","Marketing"
"23632","NgHWTBpAsE","Functional Leader","Communications","Legal"
"23633","bda7NEwCSz","Individual Contributor","Financial Services","Sales"
"23634","UX2QrITMSn","Individual Contributor","Healthcare","Operations"
"23635","o6GmdBiyvN","Individual Contributor","Financial Services","Marketing"
"23636","BtNfjvU87a","Individual Contributor","Advanced Technology","Legal"
"23637","zl95M8eZyF","Individual Contributor","Healthcare","Administrative Services"
"23638","ToFKpuqGNO","Functional Leader","Retail","Legal"
"23639","KgcWsXiJdU","Individual Contributor","Retail","Operations"
"23640","59I4MO3pKC","Supervisor","Communications","Operations"
"23641","kf9AcJLHWb","Individual Contributor","Advanced Technology","General Management"
"23642","3dJDX1WVwI","Individual Contributor","Financial Services","Operations"
"23643","GtSOMHu9ge","Functional Leader","Government","Operations"
"23644","n8xkABY9Pr","Individual Contributor","Advanced Technology","Administrative Services"
"23645","pgYEMiLc4l","Individual Contributor","Retail","Administrative Services"
"23646","BAO6ZbECHp","Functional Leader","Healthcare","Sales"
"23647","McdP6ojrkv","Individual Contributor","Advanced Technology","Operations"
"23648","yjPGToxbNk","Individual Contributor","Advanced Technology","General Management"
"23649","hCGWsgPBZf","Individual Contributor","Consumer Goods","General Management"
"23650","kPt5UjxcSR","Functional Leader","Retail","Marketing"
"23651","BZ7Dot4vAn","Functional Leader","Consumer Goods","Legal"
"23652","S9EzoMfTOF","Individual Contributor","Financial Services","Legal"
"23653","FvApfIcPSL","Functional Leader","Healthcare","General Management"
"23654","7UbhdzKHFt","Individual Contributor","Financial Services","General Management"
"23655","NGRzd1oij3","Supervisor","Advanced Technology","Sales"
"23656","j8X5QaMGg1","Individual Contributor","Retail","Human Resources"
"23657","Qw8sDo34M5","Functional Leader","Advanced Technology","Legal"
"23658","JbYFLIlGy8","Mid-level Manager","Advanced Technology","General Management"
"23659","SJgDd1rqLl","Supervisor","Financial Services","Sales"
"23660","FSHOAuXoeE","Supervisor","Financial Services","General Management"
"23661","WUBLE9DXmk","Individual Contributor","Communications","Legal"
"23662","EOjnZlPyeq","Individual Contributor","Consumer Goods","Marketing"
"23663","3itG1wumZA","Mid-level Manager","Financial Services","Administrative Services"
"23664","EZ6pNfYMOC","Supervisor","Consumer Goods","Administrative Services"
"23665","XTLaJQl6Vt","Individual Contributor","Communications","General Management"
"23666","hmxlNenfSP","Functional Leader","Retail","Human Resources"
"23667","tnz8DC75Km","Individual Contributor","Communications","General Management"
"23668","sgJQ2EqUpB","Mid-level Manager","Government","Administrative Services"
"23669","NjSrsacve3","Individual Contributor","Government","General Management"
"23670","XsGDSQNytx","Mid-level Manager","Advanced Technology","Legal"
"23671","Yc82KCFLDR","Individual Contributor","Financial Services","General Management"
"23672","89KI5vjfEn","Functional Leader","Retail","Legal"
"23673","NzVXl3SoEf","Supervisor","Financial Services","General Management"
"23674","8hZKNSFn1i","Individual Contributor","Healthcare","Administrative Services"
"23675","XznawlM97c","Individual Contributor","Retail","Sales"
"23676","4pwZHPf6UB","Individual Contributor","Financial Services","Sales"
"23677","GIb18CVNS2","Mid-level Manager","Communications","Sales"
"23678","iCPpBnGDW3","Individual Contributor","Healthcare","Sales"
"23679","6CMdzS5oIU","Individual Contributor","Government","Sales"
"23680","oaLwXRMFtl","Individual Contributor","Consumer Goods","Operations"
"23681","XEfatxdBC1","Individual Contributor","Healthcare","Operations"
"23682","AsUocXVFBd","Individual Contributor","Communications","Human Resources"
"23683","E514sgnmCI","Functional Leader","Healthcare","Marketing"
"23684","K97CrHE3Jb","Functional Leader","Consumer Goods","Administrative Services"
"23685","cmxwdgBM9V","Individual Contributor","Government","Operations"
"23686","vLN37obImE","Individual Contributor","Consumer Goods","Human Resources"
"23687","LdjQiAzsa6","Individual Contributor","Financial Services","Administrative Services"
"23688","arKGBICnbh","Individual Contributor","Advanced Technology","Human Resources"
"23689","haw45LeVr6","Supervisor","Financial Services","General Management"
"23690","qVxyM1fl2J","Individual Contributor","Advanced Technology","Legal"
"23691","MYZGjIQyX3","Individual Contributor","Government","Administrative Services"
"23692","fmb8Vy1SZ4","Individual Contributor","Financial Services","Human Resources"
"23693","2Ay6PCJLnQ","Individual Contributor","Advanced Technology","Legal"
"23694","n3T9yEk6QZ","Individual Contributor","Consumer Goods","General Management"
"23695","HvwdILiKys","Supervisor","Healthcare","Marketing"
"23696","2RbvxcJUNt","Mid-level Manager","Government","Sales"
"23697","jAXTkRa1oJ","Individual Contributor","Advanced Technology","Legal"
"23698","Y2ypoOcFSn","Functional Leader","Financial Services","Operations"
"23699","1OtPkEfLaq","Individual Contributor","Advanced Technology","Legal"
"23700","vrPxSIB8EQ","Individual Contributor","Government","General Management"
"23701","z3s6e4KqNW","Individual Contributor","Advanced Technology","Marketing"
"23702","NRu91OnTr5","Individual Contributor","Advanced Technology","Administrative Services"
"23703","6JFdr1pDqW","Individual Contributor","Retail","Human Resources"
"23704","1ojaEzXAS6","Individual Contributor","Government","Legal"
"23705","n6DUAQjNPh","Functional Leader","Consumer Goods","General Management"
"23706","oby1TPwiNC","Supervisor","Government","Marketing"
"23707","Ep6kc17Faf","Supervisor","Financial Services","General Management"
"23708","e6jmkCFHub","Functional Leader","Healthcare","Human Resources"
"23709","iPDvUJWuHK","Individual Contributor","Healthcare","Administrative Services"
"23710","Knt9THpJEu","Individual Contributor","Consumer Goods","Administrative Services"
"23711","byCjEfcT2t","Individual Contributor","Advanced Technology","General Management"
"23712","148MepaEAi","Individual Contributor","Communications","Administrative Services"
"23713","96hExwWAUM","Supervisor","Healthcare","Administrative Services"
"23714","VjCRUvhFbD","Supervisor","Retail","Marketing"
"23715","PRqYnGuA83","Supervisor","Advanced Technology","Sales"
"23716","uaPhpcJjKi","Individual Contributor","Retail","Administrative Services"
"23717","TEDAfj152M","Individual Contributor","Financial Services","Sales"
"23718","f5t93nOyKi","Individual Contributor","Government","Marketing"
"23719","QWRq3oCpb1","Supervisor","Advanced Technology","Sales"
"23720","TAsSvmpO3N","Individual Contributor","Financial Services","Sales"
"23721","Z5kGupVvwd","Individual Contributor","Consumer Goods","Administrative Services"
"23722","iYGwvDlyzc","Supervisor","Financial Services","Legal"
"23723","OmjbPi2AMu","Individual Contributor","Consumer Goods","Sales"
"23724","duE9tU5SgY","Individual Contributor","Financial Services","Operations"
"23725","1UxDoWHJr4","Individual Contributor","Communications","General Management"
"23726","58R1GqoWFj","Individual Contributor","Financial Services","Operations"
"23727","M8lw4isGNO","Individual Contributor","Consumer Goods","Administrative Services"
"23728","KamR3hQZIC","Individual Contributor","Consumer Goods","Marketing"
"23729","VxX9qwGzvM","Individual Contributor","Financial Services","General Management"
"23730","f6avQxu9hF","Individual Contributor","Consumer Goods","Sales"
"23731","fzFhiSKjXB","Individual Contributor","Consumer Goods","Administrative Services"
"23732","6ERZHhgI8r","Individual Contributor","Consumer Goods","Sales"
"23733","ZIkUMEt5js","Individual Contributor","Government","Operations"
"23734","L8jOxehCYn","Supervisor","Healthcare","Marketing"
"23735","sqeB6a7NSw","Individual Contributor","Consumer Goods","General Management"
"23736","9gQI8jL2kt","Individual Contributor","Consumer Goods","Legal"
"23737","eHZsqaR97F","Supervisor","Healthcare","Administrative Services"
"23738","CbsErnG94v","Individual Contributor","Consumer Goods","Operations"
"23739","NhOkPRDpvJ","Individual Contributor","Healthcare","Administrative Services"
"23740","M6kHUpsEQG","Functional Leader","Government","Legal"
"23741","7edPvJCwM6","Functional Leader","Advanced Technology","Sales"
"23742","7VvbeGHKYp","Supervisor","Government","Operations"
"23743","6ed48iW3Aw","Individual Contributor","Financial Services","General Management"
"23744","MyHlS4w6t1","Individual Contributor","Consumer Goods","Sales"
"23745","ZzDEU2JCjW","Functional Leader","Communications","Human Resources"
"23746","h1HpcurXkZ","Supervisor","Consumer Goods","General Management"
"23747","nImc3X6ONx","Functional Leader","Advanced Technology","Sales"
"23748","xIHkV75Yiu","Individual Contributor","Communications","Sales"
"23749","y3kWRbuzJ2","Functional Leader","Healthcare","Marketing"
"23750","aKEMwtgIfn","Supervisor","Government","Administrative Services"
"23751","CbjPq1rLk7","Supervisor","Government","Sales"
"23752","RjmK4NcI2J","Individual Contributor","Retail","Administrative Services"
"23753","hSi43nl2Pt","Individual Contributor","Advanced Technology","Operations"
"23754","QoJ21RL5Ed","Supervisor","Healthcare","Administrative Services"
"23755","3jYtNmGTL7","Supervisor","Communications","General Management"
"23756","PcIRbZzHJ8","Individual Contributor","Consumer Goods","Administrative Services"
"23757","9hWw6rVk4Z","Individual Contributor","Retail","General Management"
"23758","28mxMQdkqP","Individual Contributor","Advanced Technology","Human Resources"
"23759","A4vLqFMVxj","Individual Contributor","Financial Services","Legal"
"23760","rIlDc2KPtA","Supervisor","Communications","Sales"
"23761","rNjE3G8nMF","Individual Contributor","Financial Services","Legal"
"23762","sOEkHTZlIS","Individual Contributor","Financial Services","General Management"
"23763","U6EpoBylHe","Individual Contributor","Healthcare","General Management"
"23764","hLi2QB7E1n","Individual Contributor","Advanced Technology","Administrative Services"
"23765","N9WdZVEaXl","Individual Contributor","Communications","General Management"
"23766","ceNhbaVtdo","Supervisor","Retail","Human Resources"
"23767","rtLCbYnuch","Individual Contributor","Retail","Human Resources"
"23768","J6dChoyNpn","Individual Contributor","Consumer Goods","Marketing"
"23769","HXiKO3ndG8","Individual Contributor","Financial Services","Human Resources"
"23770","CWlO8QGEdA","Individual Contributor","Healthcare","Human Resources"
"23771","k1zPA3MuQV","Individual Contributor","Consumer Goods","Operations"
"23772","pxHBLlZPJ1","Individual Contributor","Consumer Goods","Human Resources"
"23773","z2vTPaKYun","Mid-level Manager","Government","Administrative Services"
"23774","iBbEVSFZjD","Individual Contributor","Healthcare","Sales"
"23775","3pquGm5LVn","Individual Contributor","Financial Services","Legal"
"23776","ofRDy1N3K5","Supervisor","Advanced Technology","Sales"
"23777","v5rOhzCDNw","Supervisor","Advanced Technology","Marketing"
"23778","4M3Vshfwgz","Functional Leader","Retail","Operations"
"23779","LSkub6FWxN","Individual Contributor","Government","Marketing"
"23780","nY39JRGKpc","Individual Contributor","Healthcare","Operations"
"23781","TtiFu1HmLU","Individual Contributor","Advanced Technology","Marketing"
"23782","xaX9eEHc2D","Individual Contributor","Healthcare","General Management"
"23783","8EIdSUCxNH","Supervisor","Advanced Technology","Legal"
"23784","8PJ6CVYDhI","Functional Leader","Government","Human Resources"
"23785","GrcmOgFtA4","Supervisor","Healthcare","General Management"
"23786","GRZx5saSD4","Individual Contributor","Financial Services","Sales"
"23787","cSCPpwbV2B","Supervisor","Healthcare","Administrative Services"
"23788","BcZ9jN3pif","Functional Leader","Retail","Operations"
"23789","WiHxFSEoJ2","Individual Contributor","Government","Operations"
"23790","BNX4LIlPGY","Individual Contributor","Financial Services","Legal"
"23791","7RkhsK4epL","Individual Contributor","Retail","Sales"
"23792","OYGiDKyXQt","Individual Contributor","Communications","Human Resources"
"23793","jUcYeByhL2","Individual Contributor","Government","Sales"
"23794","onjUXaeWsB","Individual Contributor","Consumer Goods","Operations"
"23795","TAicj2kR6V","Individual Contributor","Advanced Technology","Legal"
"23796","KSMzlG3HLD","Mid-level Manager","Healthcare","General Management"
"23797","eOg3SPIhGH","Mid-level Manager","Financial Services","Administrative Services"
"23798","BjVTZJfokG","Individual Contributor","Advanced Technology","Operations"
"23799","MhPJs4E8Yb","Individual Contributor","Financial Services","Human Resources"
"23800","fuZa5ivsEX","Individual Contributor","Communications","Human Resources"
"23801","1kuTG2OSzw","Functional Leader","Government","Legal"
"23802","sISD1uJEaB","Individual Contributor","Healthcare","General Management"
"23803","4zS2dRePNw","Individual Contributor","Consumer Goods","Marketing"
"23804","ErgWkitOef","Mid-level Manager","Consumer Goods","Operations"
"23805","pVLi6n3MDm","Individual Contributor","Advanced Technology","Legal"
"23806","I51l4WuJDb","Individual Contributor","Retail","General Management"
"23807","7pHLEWCDNb","Individual Contributor","Retail","Marketing"
"23808","YCOu1lWIjP","Functional Leader","Communications","Marketing"
"23809","YwFELS6h7B","Individual Contributor","Communications","Operations"
"23810","lwsgZidGV5","Individual Contributor","Financial Services","Operations"
"23811","FJ5Kpo8BlW","Individual Contributor","Advanced Technology","Legal"
"23812","OJnv493UAd","Individual Contributor","Government","Legal"
"23813","gNjqr4R6wU","Supervisor","Consumer Goods","Human Resources"
"23814","jcgqroMRPz","Supervisor","Financial Services","Administrative Services"
"23815","iBx6SpNf4g","Individual Contributor","Retail","Human Resources"
"23816","1vHAQiyCLo","Individual Contributor","Advanced Technology","Legal"
"23817","feGElUJV9S","Individual Contributor","Government","General Management"
"23818","gLrHI9mdhC","Functional Leader","Retail","Administrative Services"
"23819","AnORl5J329","Mid-level Manager","Healthcare","Sales"
"23820","QJLzo8j4Kd","Individual Contributor","Communications","General Management"
"23821","RxqOPbMA6g","Supervisor","Healthcare","Marketing"
"23822","nRC7ZsUXmp","Individual Contributor","Consumer Goods","Operations"
"23823","IhY9fleMj7","Mid-level Manager","Advanced Technology","Operations"
"23824","N7bWiAIcds","Individual Contributor","Retail","Legal"
"23825","ATV3rQxnRt","Individual Contributor","Advanced Technology","Administrative Services"
"23826","kqQK6Ilsce","Supervisor","Healthcare","Administrative Services"
"23827","P7i8s1pe9B","Individual Contributor","Financial Services","General Management"
"23828","A2dhQOZ1RD","Individual Contributor","Advanced Technology","Administrative Services"
"23829","7VxoLIvAQF","Individual Contributor","Advanced Technology","Legal"
"23830","zyBJA8CdeE","Supervisor","Advanced Technology","Human Resources"
"23831","o4kMtJm2wb","Individual Contributor","Advanced Technology","Operations"
"23832","h8RS1NTUyO","Individual Contributor","Healthcare","Operations"
"23833","k5LuRN2VHK","Individual Contributor","Financial Services","General Management"
"23834","Hjnfy8zRsM","Individual Contributor","Communications","Marketing"
"23835","MJpflj9rTy","Individual Contributor","Retail","Legal"
"23836","m4g6bzh3rV","Mid-level Manager","Advanced Technology","Human Resources"
"23837","XhBb68l9n2","Individual Contributor","Advanced Technology","Administrative Services"
"23838","BY5qOfzkuG","Individual Contributor","Retail","Operations"
"23839","p5yux3roCg","Individual Contributor","Retail","Legal"
"23840","N9Fe3wA27s","Individual Contributor","Healthcare","Operations"
"23841","UfPKyZglYi","Individual Contributor","Financial Services","Marketing"
"23842","wcTP2LIqzW","Individual Contributor","Communications","Operations"
"23843","wPClimKvEx","Mid-level Manager","Communications","Operations"
"23844","QpUS3yDtrc","Individual Contributor","Advanced Technology","Administrative Services"
"23845","RuG2hWimFJ","Mid-level Manager","Healthcare","Legal"
"23846","j9OrtF3NBe","Individual Contributor","Government","Administrative Services"
"23847","fCw5LshiuF","Individual Contributor","Advanced Technology","Sales"
"23848","ewN7yDTpLP","Individual Contributor","Healthcare","Marketing"
"23849","SNTpFh5YKg","Individual Contributor","Retail","Administrative Services"
"23850","fFlY3RBXbi","Individual Contributor","Healthcare","Sales"
"23851","LDf4IKwhNC","Individual Contributor","Retail","Legal"
"23852","1Qh9kVAa7u","Individual Contributor","Retail","General Management"
"23853","6WaAQ7fte8","Supervisor","Communications","Administrative Services"
"23854","oICU6Vya8m","Supervisor","Retail","General Management"
"23855","uPizrX46Vp","Individual Contributor","Retail","General Management"
"23856","hOuRG1oJnN","Individual Contributor","Financial Services","General Management"
"23857","5CvlfxNSFo","Individual Contributor","Advanced Technology","Operations"
"23858","KQFxtjYeUm","Supervisor","Government","Human Resources"
"23859","QY36aUgVke","Individual Contributor","Retail","General Management"
"23860","3MifNLjqcG","Mid-level Manager","Consumer Goods","Human Resources"
"23861","GgOju5apvE","Mid-level Manager","Retail","General Management"
"23862","usXTQdwHJY","Individual Contributor","Healthcare","Human Resources"
"23863","ZarICRvj8o","Supervisor","Communications","Administrative Services"
"23864","UkbiGhXByR","Supervisor","Financial Services","Human Resources"
"23865","hQqBJC4lMe","Individual Contributor","Financial Services","Legal"
"23866","LBJIEezYC3","Supervisor","Government","Operations"
